datetime,open,high,low,close,volume
2023-10-10 11:15:00,179.48,179.67999,179.44,179.48,1114848
2023-10-10 11:00:00,179.33,179.62,179.13,179.485,1581566
2023-10-10 10:45:00,179.265,179.39,179.10001,179.32001,1255490
2023-10-10 10:30:00,179.19099,179.42999,179.03999,179.255,1422892
2023-10-10 10:15:00,178.64,179.31,178.59,179.1851,1862140
2023-10-10 10:00:00,178.63,178.9458,178.35001,178.64,1835660
2023-10-10 09:45:00,178.285,178.64,178.12,178.63,1831719
2023-10-10 09:30:00,178.10001,179.16,178.10001,178.28999,3634608
2023-10-09 15:45:00,178.8,179.05,178.75999,178.99001,3409101
2023-10-09 15:30:00,178.89999,178.91,178.66499,178.81,1808775
2023-10-09 15:15:00,178.89,178.95,178.66499,178.89999,1233503
2023-10-09 15:00:00,178.88789,179.05,178.72,178.89,1200774
2023-10-09 14:45:00,178.94991,179.03999,178.77991,178.88,1070513
2023-10-09 14:30:00,178.845,179.02,178.42,178.95,1527064
2023-10-09 14:15:00,178.86,178.92999,178.71001,178.84,988290
2023-10-09 14:00:00,178.72,178.97,178.58031,178.85001,1347564
2023-10-09 13:45:00,178.32001,178.78999,178.23,178.72,1674471
2023-10-09 13:30:00,177.96001,178.455,177.94,178.33,1247460
2023-10-09 13:15:00,177.72,177.97,177.6814,177.95,583567
2023-10-09 13:00:00,177.61,177.785,177.56,177.72,589845
2023-10-09 12:45:00,177.55499,177.77,177.435,177.60001,718363
2023-10-09 12:30:00,177.60001,177.77,177.53999,177.55,714284
2023-10-09 12:15:00,177.7,178.07001,177.60001,177.61,1276356
2023-10-09 12:00:00,177.2,177.75999,177.17999,177.69501,1495578
2023-10-09 11:45:00,177.13,177.2,176.87,177.19501,968089
2023-10-09 11:30:00,177.075,177.23,177.035,177.12,1025667
2023-10-09 11:15:00,176.44501,177.125,176.44501,177.08501,1233706
2023-10-09 11:00:00,176.36501,176.59,176.19,176.45,1473182
2023-10-09 10:45:00,176.58,176.6662,176.20061,176.37,1101678
2023-10-09 10:30:00,176.87,176.98,176.28999,176.59,1200006
2023-10-09 10:15:00,176.58,177.22,176.56,176.87,1330732
2023-10-09 10:00:00,177.17999,177.36,176.3121,176.57001,2011653
2023-10-09 09:45:00,176.82001,177.299,176.64999,177.17999,1969667
2023-10-09 09:30:00,176.81,176.88,175.8,176.84,4047259
2023-10-06 15:45:00,177.755,177.92,177.39999,177.49001,5420215
2023-10-06 15:30:00,177.935,177.99001,177.72,177.755,1899094
2023-10-06 15:15:00,177.575,177.955,177.50999,177.94,1440797
2023-10-06 15:00:00,177.535,177.67,177.4601,177.57001,2112508
2023-10-06 14:45:00,177.62,177.7059,177.42,177.53999,931191
2023-10-06 14:30:00,177.53,177.69,177.42,177.62,1150000
2023-10-06 14:15:00,177.3223,177.53999,177.19501,177.5291,1065026
2023-10-06 14:00:00,177.27499,177.38,177.13,177.32001,1059919
2023-10-06 13:45:00,177.2,177.33,177.10001,177.27991,899351
2023-10-06 13:30:00,177.17,177.39,177.12,177.19,1030571
2023-10-06 13:15:00,177.07001,177.36,177.03,177.16,1850402
2023-10-06 13:00:00,176.83,177.07001,176.69,177.07001,1103755
2023-10-06 12:45:00,176.89999,176.99001,176.73,176.82001,886377
2023-10-06 12:30:00,176.67999,176.92999,176.45,176.89999,1216132
2023-10-06 12:15:00,176.655,176.72,176.31,176.6701,1495965
2023-10-06 12:00:00,176.795,177.05,176.58,176.655,1963817
2023-10-06 11:45:00,176.3,176.84,176.17999,176.79871,1733523
2023-10-06 11:30:00,175.45,176.39999,175.42999,176.28999,1973289
2023-10-06 11:15:00,175.46001,175.7244,175.21001,175.45,1750921
2023-10-06 11:00:00,175.1324,175.67,175.09,175.46001,2221327
2023-10-06 10:45:00,175.036,175.28,174.84,175.13,1465301
2023-10-06 10:30:00,174.8,175.13,174.73,175.03999,2627734
2023-10-06 10:15:00,174.17,174.89,173.67999,174.81,2038280
2023-10-06 10:00:00,174.03,174.25,173.35001,174.16,2019183
2023-10-06 09:45:00,173.59,174.11,173.42999,174.03,2153733
2023-10-06 09:30:00,173.8,175.06,173.17999,173.59,4885316
2023-10-05 15:45:00,174.92999,175.21001,174.84,174.98,3411919
2023-10-05 15:30:00,175.12,175.22,174.86,174.93179,1441163
2023-10-05 15:15:00,175.14999,175.17999,174.87,175.12,1096031
2023-10-05 15:00:00,175.33501,175.39,174.9221,175.1412,1059075
2023-10-05 14:45:00,175.33,175.39,175.17,175.33,971860
2023-10-05 14:30:00,174.95,175.45,174.905,175.33,1763828
2023-10-05 14:15:00,175.03,175.17,174.75,174.9599,1203912
2023-10-05 14:00:00,174.88,175.2,174.8544,175.02,1322843
